lambda,hst.ACS_update_sep07.wfc_f435w_t81.dat,hst.ACS_update_sep07.wfc_f475w_t81.dat,hst.ACS_update_sep07.wfc_f606w_t81.dat,hst.ACS_update_sep07.wfc_f775w_t81.dat,hst.ACS_update_sep07.wfc_f814w_t81.dat,F090W_JWST,hst.wfc3.IR.f105w.dat,F115W_JWST,hst.wfc3.IR.f125w.dat,hst.wfc3.IR.f140w.dat,F150W_JWST,hst.wfc3.IR.f160w.dat,F200W_JWST,F277W_JWST,F356W_JWST,F410M_JWST,F444W_JWST
560,,,,,,,,,,,,,,,,,
570,,,,,,,,,,,,,,,,,
580,,,,,,,,,,,,,,,,,
590,,,,,,,,,,,,,,,,,
600,,,,,,,,,,,,,,,,,
610,,,,,,,,,,,,,,,,,
620,,,,,,,,,,,,,,,,,
630,,,,,,,,,,,,,,,,,
640,,,,,,,,,,,,,,,,,
650,,,,,,,,,,,,,,,,,
660,,,,,,,,,,,,,,,,,
670,,,,,,,,,,,,,,,,,
680,,,,,,,,,,,,,,,,,
690,,,,,,,,,,,,,,,,,
700,,,,,,,,,,,,,,,,,
710,,,,,,,,,,,,,,,,,
720,,,,,,,,,,,,,,,,,
730,,,,,,,,,,,,,,,,,
740,,,,,,,,,,,,,,,,,
750,,,,,,,,,,,,,,,,,
760,,,,,,,,,,,,,,,,,
770,,,,,,,,,,,,,,,,,
780,,,,,,,,,,,,,,,,,
790,,,,,,,,,,,,,,,,,
800,,,,,,,,,,,,,,,,,
810,,,,,,,,,,,,,,,,,
820,,,,,,,,,,,,,,,,,
830,,,,,,,,,,,,,,,,,
840,,,,,,,,,,,,,,,,,
850,,,,,,,,,,,,,,,,,
860,,,,,,,,,,,,,,,,,
870,,,,,,,,,,,,,,,,,
880,,,,,,,,,,,,,,,,,
890,,,,,,,,,,,,,,,,,
900,,,,,,,,,,,,,,,,,
910,,,,,,,,,,,,,,,,,
920,,,,,,,,,,,,,,,,,
930,,,,,,,,,,,,,,,,,
940,,,,,,,,,,,,,,,,,
950,,,,,,,,,,,,,,,,,
960,,,,,,,,,,,,,,,,,
970,,,,,,,,,,,,,,,,,
980,,,,,,,,,,,,,,,,,
990,,,,,,,,,,,,,,,,,
1000,,,,,,,,,,,,,,,,,
1010,,,,,,,,,,,,,,,,,
1020,,,,,,,,,,,,,,,,,
1030,,,,,,,,,,,,,,,,,
1040,,,,,,,,,,,,,,,,,
1050,,,,,,,,,,,,,,,,,
1060,,,,,,,,,,,,,,,,,
1070,,,,,,,,,,,,,,,,,
1080,,,,,,,,,,,,,,,,,
1090,,,,,,,,,,,,,,,,,
1100,,,,,,,,,,,,,,,,,
1110,,,,,,,,,,,,,,,,,
1120,,,,,,,,,,,,,,,,,
1130,,,,,,,,,,,,,,,,,
1140,,,,,,,,,,,,,,,,,
1150,,,,,,,,,,,,,,,,,
1160,,,,,,,,,,,,,,,,,
1170,,,,,,,,,,,,,,,,,
1180,,,,,,,,,,,,,,,,,
1190,,,,,,,,,,,,,,,,,
1200,,,,,,,,,,,,,,,,,
1210,,,,,,,,,,,,,,,,,
1220,,,,,,,,,,,,,,,,,
1230,,,,,,,,,,,,,,,,,
1240,,,,,,,,,,,,,,,,,
1250,,,,,,,,,,,,,,,,,
1260,,,,,,,,,,,,,,,,,
1270,,,,,,,,,,,,,,,,,
1280,,,,,,,,,,,,,,,,,
1290,,,,,,,,,,,,,,,,,
1300,,,,,,,,,,,,,,,,,
1310,,,,,,,,,,,,,,,,,
1320,,,,,,,,,,,,,,,,,
1330,,,,,,,,,,,,,,,,,
1340,,,,,,,,,,,,,,,,,
1350,,,,,,,,,,,,,,,,,
1360,,,,,,,,,,,,,,,,,
1370,,,,,,,,,,,,,,,,,
1380,,,,,,,,,,,,,,,,,
1390,,,,,,,,,,,,,,,,,
1400,,,,,,,,,,,,,,,,,
1410,,,,,,,,,,,,,,,,,
1420,,,,,,,,,,,,,,,,,
1430,,,,,,,,,,,,,,,,,
1440,,,,,,,,,,,,,,,,,
1450,,,,,,,,,,,,,,,,,
1460,,,,,,,,,,,,,,,,,
1470,,,,,,,,,,,,,,,,,
1480,,,,,,,,,,,,,,,,,
1490,,,,,,,,,,,,,,,,,
1500,,,,,,,,,,,,,,,,,
1510,,,,,,,,,,,,,,,,,
1520,,,,,,,,,,,,,,,,,
1530,,,,,,,,,,,,,,,,,
1540,,,,,,,,,,,,,,,,,
1550,,,,,,,,,,,,,,,,,
1560,,,,,,,,,,,,,,,,,
1570,,,,,,,,,,,,,,,,,
1580,,,,,,,,,,,,,,,,,
1590,,,,,,,,,,,,,,,,,
1600,,,,,,,,,,,,,,,,,
1610,,,,,,,,,,,,,,,,,
1620,,,,,,,,,,,,,,,,,
1630,,,,,,,,,,,,,,,,,
1640,,,,,,,,,,,,,,,,,
1650,,,,,,,,,,,,,,,,,
1660,,,,,,,,,,,,,,,,,
1670,,,,,,,,,,,,,,,,,
1680,,,,,,,,,,,,,,,,,
1690,,,,,,,,,,,,,,,,,
1700,,,,,,,,,,,,,,,,,
1710,,,,,,,,,,,,,,,,,
1720,,,,,,,,,,,,,,,,,
1730,,,,,,,,,,,,,,,,,
1740,,,,,,,,,,,,,,,,,
1750,,,,,,,,,,,,,,,,,
1760,,,,,,,,,,,,,,,,,
1770,,,,,,,,,,,,,,,,,
1780,,,,,,,,,,,,,,,,,
1790,,,,,,,,,,,,,,,,,
1800,,,,,,,,,,,,,,,,,
1810,,,,,,,,,,,,,,,,,
1820,,,,,,,,,,,,,,,,,
1830,,,,,,,,,,,,,,,,,
1840,,,,,,,,,,,,,,,,,
1850,,,,,,,,,,,,,,,,,
1860,,,,,,,,,,,,,,,,,
1870,,,,,,,,,,,,,,,,,
1880,,,,,,,,,,,,,,,,,
1890,,,,,,,,,,,,,,,,,
1900,,,,,,,,,,,,,,,,,
1910,,,,,,,,,,,,,,,,,
1920,,,,,,,,,,,,,,,,,
1930,,,,,,,,,,,,,,,,,
1940,,,,,,,,,,,,,,,,,
1950,,,,,,,,,,,,,,,,,
1960,,,,,,,,,,,,,,,,,
1970,,,,,,,,,,,,,,,,,
1980,,,,,,,,,,,,,,,,,
1990,,,,,,,,,,,,,,,,,
2000,,,,,,,,,,,,,,,,,
2010,,,,,,,,,,,,,,,,,
2020,,,,,,,,,,,,,,,,,
2030,,,,,,,,,,,,,,,,,
2040,,,,,,,,,,,,,,,,,
2050,,,,,,,,,,,,,,,,,
2060,,,,,,,,,,,,,,,,,
2070,,,,,,,,,,,,,,,,,
2080,,,,,,,,,,,,,,,,,
2090,,,,,,,,,,,,,,,,,
2100,,,,,,,,,,,,,,,,,
2110,,,,,,,,,,,,,,,,,
2120,,,,,,,,,,,,,,,,,
2130,,,,,,,,,,,,,,,,,
2140,,,,,,,,,,,,,,,,,
2150,,,,,,,,,,,,,,,,,
2160,,,,,,,,,,,,,,,,,
2170,,,,,,,,,,,,,,,,,
2180,,,,,,,,,,,,,,,,,
2190,,,,,,,,,,,,,,,,,
2200,,,,,,,,,,,,,,,,,
2210,,,,,,,,,,,,,,,,,
2220,,,,,,,,,,,,,,,,,
2230,,,,,,,,,,,,,,,,,
2240,,,,,,,,,,,,,,,,,
2250,,,,,,,,,,,,,,,,,
2260,,,,,,,,,,,,,,,,,
2270,,,,,,,,,,,,,,,,,
2280,,,,,,,,,,,,,,,,,
2290,,,,,,,,,,,,,,,,,
2300,,,,,,,,,,,,,,,,,
2310,,,,,,,,,,,,,,,,,
2320,,,,,,,,,,,,,,,,,
2330,,,,,,,,,,,,,,,,,
2340,,,,,,,,,,,,,,,,,
2350,,,,,,,,,,,,,,,,,
2360,,,,,,,,,,,,,,,,,
2370,,,,,,,,,,,,,,,,,
2380,,,,,,,,,,,,,,,,,
2390,,,,,,,,,,,,,,,,,
2400,,,,,,,,,,,,,,,,,
2410,,,,,,,,,,,,,,,,,
2420,,,,,,,,,,,,,,,,,
2430,,,,,,,,,,,,,,,,,
2440,,,,,,,,,,,,,,,,,
2450,,,,,,,,,,,,,,,,,
2460,,,,,,,,,,,,,,,,,
2470,,,,,,,,,,,,,,,,,
2480,,,,,,,,,,,,,,,,,
2490,,,,,,,,,,,,,,,,,
2500,,,,,,,,,,,,,,,,,
2510,,,,,,,,,,,,,,,,,
2520,,,,,,,,,,,,,,,,,
2530,,,,,,,,,,,,,,,,,
2540,,,,,,,,,,,,,,,,,
2550,,,,,,,,,,,,,,,,,
2560,,,,,,,,,,,,,,,,,
2570,,,,,,,,,,,,,,,,,
2580,,,,,,,,,,,,,,,,,
2590,,,,,,,,,,,,,,,,,
2600,,,,,,,,,,,,,,,,,
2610,,,,,,,,,,,,,,,,,
2620,,,,,,,,,,,,,,,,,
2630,,,,,,,,,,,,,,,,,
2640,,,,,,,,,,,,,,,,,
2650,,,,,,,,,,,,,,,,,
2660,,,,,,,,,,,,,,,,,
2670,,,,,,,,,,,,,,,,,
2680,,,,,,,,,,,,,,,,,
2690,,,,,,,,,,,,,,,,,
2700,,,,,,,,,,,,,,,,,
2710,,,,,,,,,,,,,,,,,
2720,,,,,,,,,,,,,,,,,
2730,,,,,,,,,,,,,,,,,
2740,,,,,,,,,,,,,,,,,
2750,,,,,,,,,,,,,,,,,
2760,,,,,,,,,,,,,,,,,
2770,,,,,,,,,,,,,,,,,
2780,,,,,,,,,,,,,,,,,
2790,,,,,,,,,,,,,,,,,
2800,,,,,,,,,,,,,,,,,
2810,,,,,,,,,,,,,,,,,
2820,,,,,,,,,,,,,,,,,
2830,,,,,,,,,,,,,,,,,
2840,,,,,,,,,,,,,,,,,
2850,,,,,,,,,,,,,,,,,
2860,,,,,,,,,,,,,,,,,
2870,,,,,,,,,,,,,,,,,
2880,,,,,,,,,,,,,,,,,
2890,,,,,,,,,,,,,,,,,
2900,,,,,,,,,,,,,,,,,
2910,,,,,,,,,,,,,,,,,
2920,,,,,,,,,,,,,,,,,
2930,,,,,,,,,,,,,,,,,
2940,,,,,,,,,,,,,,,,,
2950,,,,,,,,,,,,,,,,,
2960,,,,,,,,,,,,,,,,,
2970,,,,,,,,,,,,,,,,,
2980,,,,,,,,,,,,,,,,,
2990,,,,,,,,,,,,,,,,,
3000,,,,,,,,,,,,,,,,,
3010,,,,,,,,,,,,,,,,,
3020,,,,,,,,,,,,,,,,,
3030,,,,,,,,,,,,,,,,,
3040,,,,,,,,,,,,,,,,,
3050,,,,,,,,,,,,,,,,,
3060,,,,,,,,,,,,,,,,,
3070,,,,,,,,,,,,,,,,,
3080,,,,,,,,,,,,,,,,,
3090,,,,,,,,,,,,,,,,,
3100,,,,,,,,,,,,,,,,,
3110,,,,,,,,,,,,,,,,,
3120,,,,,,,,,,,,,,,,,
3130,,,,,,,,,,,,,,,,,
3140,,,,,,,,,,,,,,,,,
3150,,,,,,,,,,,,,,,,,
3160,,,,,,,,,,,,,,,,,
3170,,,,,,,,,,,,,,,,,
3180,,,,,,,,,,,,,,,,,
3190,,,,,,,,,,,,,,,,,
3200,,,,,,,,,,,,,,,,,
3210,,,,,,,,,,,,,,,,,
3220,,,,,,,,,,,,,,,,,
3230,,,,,,,,,,,,,,,,,
3240,,,,,,,,,,,,,,,,,
3250,,,,,,,,,,,,,,,,,
3260,,,,,,,,,,,,,,,,,
3270,,,,,,,,,,,,,,,,,
3280,,,,,,,,,,,,,,,,,
3290,,,,,,,,,,,,,,,,,
3300,,,,,,,,,,,,,,,,,
3310,,,,,,,,,,,,,,,,,
3320,,,,,,,,,,,,,,,,,
3330,,,,,,,,,,,,,,,,,
3340,,,,,,,,,,,,,,,,,
3350,,,,,,,,,,,,,,,,,
3360,,,,,,,,,,,,,,,,,
3370,,,,,,,,,,,,,,,,,
3380,,,,,,,,,,,,,,,,,
3390,,,,,,,,,,,,,,,,,
3400,,,,,,,,,,,,,,,,,
3410,,,,,,,,,,,,,,,,,
3420,,,,,,,,,,,,,,,,,
3430,,,,,,,,,,,,,,,,,
3440,,,,,,,,,,,,,,,,,
3450,,,,,,,,,,,,,,,,,
3460,,,,,,,,,,,,,,,,,
3470,,,,,,,,,,,,,,,,,
3480,,,,,,,,,,,,,,,,,
3490,,,,,,,,,,,,,,,,,
3500,,,,,,,,,,,,,,,,,
3510,,,,,,,,,,,,,,,,,
3520,,,,,,,,,,,,,,,,,
3530,,,,,,,,,,,,,,,,,
3540,,,,,,,,,,,,,,,,,
3550,,,,,,,,,,,,,,,,,
3560,,,,,,,,,,,,,,,,,
3570,0,,,,,,,,,,,,,,,,
3580,0.001760105,,,,,,,,,,,,,,,,
3590,0.004583275,,,,,,,,,,,,,,,,
3600,0.00783597,,,,,,,,,,,,,,,,
3610,0.01269345,,,,,,,,,,,,,,,,
3620,0.0182138,,,,,,,,,,,,,,,,
3630,0.0252599,,,,,,,,,,,,,,,,
3640,0.0362692,,,,,,,,,,,,,,,,
3650,0.05067735,,,,,,,,,,,,,,,,
3660,0.0634618,,,,,,,,,,,,,,,,
3670,0.07344375,,,,,,,,,,,,,,,,
3680,0.0863573,,,,,,,,,,,,,,,,
3690,0.10506395,,,,,,,,,,,,,,,,
3700,0.124638,,,,,,,,,,,,,,,,
3710,0.1411245,,,,,,,,,,,,,,,,
3720,0.15667,,,,,,,,,,,,,,,,
3730,0.177552,,,,,,,,,,,,,,,,
3740,0.2064355,,,,,,,,,,,,,,,,
3750,0.2358525,,,,,,,,,,,,,,,,
3760,0.259042,,,,,,,,,,,,,,,,
3770,0.277891,,,,,,,,,,,,,,,,
3780,0.2978835,,,,,,,,,,,,,,,,
3790,0.319991,,,,,,,,,,,,,,,,
3800,0.3374875,,,,,,,,,,,,,,,,
3810,0.3532265,,,,,,,,,,,,,,,,
3820,0.374965,,,,,,,,,,,,,,,,
3830,0.3995075,0,,,,,,,,,,,,,,,
3840,0.4245205,0,,,,,,,,,,,,,,,
3850,0.4476465,0.00666258,,,,,,,,,,,,,,,
3860,0.467498,0.01301918,,,,,,,,,,,,,,,
3870,0.4855105,0.0190698,,,,,,,,,,,,,,,
3880,0.5017695,0.0327910666666667,,,,,,,,,,,,,,,
3890,0.519646,0.0503493666666667,,,,,,,,,,,,,,,
3900,0.540437,0.0717447,,,,,,,,,,,,,,,
3910,0.56255,0.0974162333333333,,,,,,,,,,,,,,,
3920,0.588116,0.123989333333333,,,,,,,,,,,,,,,
3930,0.613293,0.151464,,,,,,,,,,,,,,,
3940,0.6335925,0.180041333333333,,,,,,,,,,,,,,,
3950,0.6510385,0.209690666666667,,,,,,,,,,,,,,,
3960,0.6650375,0.240412,,,,,,,,,,,,,,,
3970,0.6755895,0.273994666666667,,,,,,,,,,,,,,,
3980,0.685284,0.307984333333333,,,,,,,,,,,,,,,
3990,0.695513,0.342381,,,,,,,,,,,,,,,
4000,0.7036975,0.373237666666667,,,,,,,,,,,,,,,
4010,0.713367000000001,0.401947333333335,,,,,,,,,,,,,,,
4020,0.727096500000001,0.428510000000001,,,,,,,,,,,,,,,
4030,0.741366500000001,0.457364000000001,,,,,,,,,,,,,,,
4040,0.753967000000001,0.489008666666668,,,,,,,,,,,,,,,
4050,0.765049500000001,0.523444000000002,,,,,,,,,,,,,,,
4060,0.778192000000001,0.559103333333335,,,,,,,,,,,,,,,
4070,0.7890165,0.590427666666668,,,,,,,,,,,,,,,
4080,0.7909805,0.617417000000001,,,,,,,,,,,,,,,
4090,0.790928,0.633269000000001,,,,,,,,,,,,,,,
4100,0.7939115,0.64897,,,,,,,,,,,,,,,
4110,0.7944395,0.66452,,,,,,,,,,,,,,,
4120,0.7961175,0.683739333333333,,,,,,,,,,,,,,,
4130,0.805392,0.704008666666667,,,,,,,,,,,,,,,
4140,0.8175745,0.725328,,,,,,,,,,,,,,,
4150,0.824943,0.738630666666667,,,,,,,,,,,,,,,
4160,0.828195,0.746772666666667,,,,,,,,,,,,,,,
4170,0.833248,0.749754,,,,,,,,,,,,,,,
4180,0.8404545,0.751304,,,,,,,,,,,,,,,
4190,0.8461645,0.756046666666667,,,,,,,,,,,,,,,
4200,0.851464,0.763982,,,,,,,,,,,,,,,
4210,0.863225,0.778438666666667,,,,,,,,,,,,,,,
4220,0.876941,0.793883666666667,,,,,,,,,,,,,,,
4230,0.8891995,0.810317,,,,,,,,,,,,,,,
4240,0.89927,0.827369,,,,,,,,,,,,,,,
4250,0.9031555,0.842958333333333,,,,,,,,,,,,,,,
4260,0.9038895,0.857085,,,,,,,,,,,,,,,
4270,0.902234,0.866695666666667,,,,,,,,,,,,,,,
4280,0.9021475,0.875788666666667,,,,,,,,,,,,,,,
4290,0.897301,0.884364,,,,,,,,,,,,,,,
4300,0.8837725,0.891034,,,,,,,,,,,,,,,
4310,0.878014,0.897124,,,,,,,,,,,,,,,
4320,0.8879405,0.902634,,,,,,,,,,,,,,,
4330,0.900959,0.906328666666667,,,,,,,,,,,,,,,
4340,0.905371,0.909971666666667,,,,,,,,,,,,,,,
4350,0.908948,0.913563,,,,,,,,,,,,,,,
4360,0.920645,0.918824333333333,,,,,,,,,,,,,,,
4370,0.9320095,0.92349,,,,,,,,,,,,,,,
4380,0.936295,0.92756,,,,,,,,,,,,,,,
4390,0.9399065,0.927994666666667,,,,,,,,,,,,,,,
4400,0.949051,0.926475666666667,,,,,,,,,,,,,,,
4410,0.9571305,0.923003,,,,,,,,,,,,,,,
4420,0.952679,0.921798333333333,,,,,,,,,,,,,,,
4430,0.94146,0.921749,,,,,,,,,,,,,,,
4440,0.9333535,0.922855,,,,,,,,,,,,,,,
4450,0.9294195,0.927393,,,,,,,,,,,,,,,
4460,0.930527,0.932943333333333,,,,,,,,,,,,,,,
4470,0.9341795,0.939506,,,,,,,,,,,,,,,
4480,0.938643,0.946122666666667,,,,,,,,,,,,,,,
4490,0.943811,0.952198,,,,,,,,,,,,,,,
4500,0.9436755,0.957732,,,,,,,,,,,,,,,
4510,0.9383225,0.960379333333333,,,,,,,,,,,,,,,
4520,0.934183,0.961957,,,,,,,,,,,,,,,
4530,0.938591,0.962465,,,,,,,,,,,,,,,
4540,0.959319,0.960253666666667,,,,,,,,,,,,,,,
4550,0.9806615,0.956592666666667,,,,,,,,,,,,,,,
4560,0.9934675,0.951482,,,,,,,,,,,,,,,
4570,0.976096,0.946268666666667,,,,,,,,,,,,,,,
4580,0.9507465,0.942185666666667,,,,,,,,,,,,,,,
4590,0.9604375,0.939233,,,,,,,,,,,,,,,
4600,0.9633995,0.941102333333333,0,,,,,,,,,,,,,,
4610,0.957838,0.943912666666667,0,,,,,,,,,,,,,,
4620,0.9599235,0.947664,0.00494323333333333,,,,,,,,,,,,,,
4630,0.955445,0.955953333333333,0.0148297,,,,,,,,,,,,,,
4640,0.950894,0.962978666666667,0.0230585666666667,,,,,,,,,,,,,,
4650,0.9451825,0.96874,0.0454251,,,,,,,,,,,,,,
4660,0.9355,0.974611333333333,0.0819293,,,,,,,,,,,,,,
4670,0.930234,0.979020333333333,0.0989831,,,,,,,,,,,,,,
4680,0.927017,0.981967,0.139551,,,,,,,,,,,,,,
4690,0.9292095,0.978624333333333,0.203633,,,,,,,,,,,,,,
4700,0.923259,0.976546,0.231829666666667,,,,,,,,,,,,,,
4710,0.913123,0.975732,0.260183666666667,,,,,,,,,,,,,,
4720,0.9157745,0.975387333333333,0.288695,,,,,,,,,,,,,,
4730,0.9176625,0.973756333333333,0.371484333333333,,,,,,,,,,,,,,
4740,0.9219085,0.970839,0.400749333333333,,,,,,,,,,,,,,
4750,0.9315515,0.972599666666667,0.37649,,,,,,,,,,,,,,
4760,0.927817,0.975445,0.470376,,,,,,,,,,,,,,
4770,0.89315,0.979375,0.531529333333333,,,,,,,,,,,,,,
4780,0.8002855,0.984197,0.55995,,,,,,,,,,,,,,
4790,0.637249,0.986667666666667,0.535770666666667,,,,,,,,,,,,,,
4800,0.450147,0.986787,0.572799666666667,,,,,,,,,,,,,,
4810,0.2748475,0.986888333333333,0.671037,,,,,,,,,,,,,,
4820,0.14270305,0.985273333333333,0.683880333333333,,,,,,,,,,,,,,
4830,0.07053155,0.981942,0.705894,,,,,,,,,,,,,,
4840,0.03510255,0.979322,0.737078,,,,,,,,,,,,,,
4850,0.0183144,0.977304666666667,0.754697333333333,,,,,,,,,,,,,,
4860,0.010706545,0.97589,0.765605,,,,,,,,,,,,,,
4870,0.004312195,0.973177333333333,0.769801,,,,,,,,,,,,,,
4880,0,0.972109666666667,0.756239666666667,,,,,,,,,,,,,,
4890,,0.972687,0.725637666666667,,,,,,,,,,,,,,
4900,,0.977197,0.677995,,,,,,,,,,,,,,
4910,,0.982980666666667,0.678739,,,,,,,,,,,,,,
4920,,0.990038,0.697600666666667,,,,,,,,,,,,,,
4930,,0.990994,0.73458,,,,,,,,,,,,,,
4940,,0.993036666666667,0.774584666666667,,,,,,,,,,,,,,
4950,,0.996166,0.785713333333333,,,,,,,,,,,,,,
4960,,0.997286,0.767966,,,,,,,,,,,,,,
4970,,0.997901,0.744314666666667,,,,,,,,,,,,,,
4980,,0.998011,0.752316666666667,,,,,,,,,,,,,,
4990,,0.999337,0.791972,,,,,,,,,,,,,,
5000,,0.998484666666667,0.815688,,,,,,,,,,,,,,
5010,,0.995454,0.821556666666667,,,,,,,,,,,,,,
5020,,0.992506,0.809578,,,,,,,,,,,,,,
5030,,0.988455,0.762598666666667,,,,,,,,,,,,,,
5040,,0.983301,0.724778,,,,,,,,,,,,,,
5050,,0.978040333333333,0.696116,,,,,,,,,,,,,,
5060,,0.975677,0.724565333333333,,,,,,,,,,,,,,
5070,,0.976211,0.758152333333333,,,,,,,,,,,,,,
5080,,0.978129,0.796877,,,,,,,,,,,,,,
5090,,0.979447666666667,0.797109,,,,,,,,,,,,,,
5100,,0.980167,0.788456,,,,,,,,,,,,,,
5110,,0.985185666666667,0.770918,,,,,,,,,,,,,,
5120,,0.988213333333333,0.770232666666667,,,,,,,,,,,,,,
5130,,0.98925,0.780255666666667,,,,,,,,,,,,,,
5140,,0.989776666666667,0.800987,,,,,,,,,,,,,,
5150,,0.988958666666667,0.820881,,,,,,,,,,,,,,
5160,,0.986796,0.824880666666667,,,,,,,,,,,,,,
5170,,0.982158666666667,0.812986,,,,,,,,,,,,,,
5180,,0.976006333333333,0.80104,,,,,,,,,,,,,,
5190,,0.968339,0.812923666666667,,,,,,,,,,,,,,
5200,,0.963491,0.848637,,,,,,,,,,,,,,
5210,,0.959976666666667,0.837227,,,,,,,,,,,,,,
5220,,0.957796,0.810507333333333,,,,,,,,,,,,,,
5230,,0.955822666666667,0.768478,,,,,,,,,,,,,,
5240,,0.955038666666667,0.778244666666667,,,,,,,,,,,,,,
5250,,0.955444,0.787371333333333,,,,,,,,,,,,,,
5260,,0.955497333333333,0.795858,,,,,,,,,,,,,,
5270,,0.952651,0.816958,,,,,,,,,,,,,,
5280,,0.946905,0.835627333333333,,,,,,,,,,,,,,
5290,,0.940545666666667,0.851866,,,,,,,,,,,,,,
5300,,0.931737,0.833916666666667,,,,,,,,,,,,,,
5310,,0.920479,0.814642,,,,,,,,,,,,,,
5320,,0.904007666666667,0.794042,,,,,,,,,,,,,,
5330,,0.888913666666667,0.813508,,,,,,,,,,,,,,
5340,,0.875197,0.836663333333333,,,,,,,,,,,,,,
5350,,0.867861,0.863508,,,,,,,,,,,,,,
5360,,0.863584,0.860438,,,,,,,,,,,,,,
5370,,0.862366,0.856735,,,,,,,,,,,,,,
5380,,0.875068,0.852399,,,,,,,,,,,,,,
5390,,0.892468333333333,0.821091666666667,,,,,,,,,,,,,,
5400,,0.914567,0.796346,,,,,,,,,,,,,,
5410,,0.928063666666667,0.778162,,,,,,,,,,,,,,
5420,,0.931875,0.814398,,,,,,,,,,,,,,
5430,,0.926001,0.848365666666667,,,,,,,,,,,,,,
5440,,0.895983666666667,0.880065,,,,,,,,,,,,,,
5450,,0.843814333333333,0.893755666666667,,,,,,,,,,,,,,
5460,,0.769493,0.901016333333333,,,,,,,,,,,,,,
5470,,0.641981,0.901847,,,,,,,,,,,,,,
5480,,0.502485333333333,0.907383666666666,,,,,,,,,,,,,,
5490,,0.351006,0.903962666666667,,,,,,,,,,,,,,
5500,,0.232122666666667,0.891584,,,,,,,,,,,,,,
5510,,0.140686666666667,0.869959333333333,,,1.03725664245699e-09,,3.16553494160922e-10,,,1.32902216292235e-09,,2.58464375987008e-10,,,,
5520,,0.0766979999999974,0.865464000000001,,,1.43252934049717e-09,,4.11462484807807e-10,,,1.33129236255462e-09,,3.01267829077787e-10,,,,
5530,,0.0482097333333307,0.878098000000001,,,2.16557472944282e-09,,5.91700905001382e-10,,,3.66098827762283e-10,,6.1257839602361e-10,,,,
5540,,0.0280481999999989,0.891457333333335,,,1.79838264081644e-09,,6.69124587638075e-10,,,1.11396529255365e-09,,7.64624828480759e-10,,,,
5550,,0.0162133999999995,0.894629333333333,,,1.72848632318961e-09,,5.81883163243087e-10,,,1.34472067107389e-09,,9.32883623582891e-10,,,,
5560,,0.0111055266666662,0.887614000000001,,,2.56194781342001e-09,,5.33235863880401e-10,,,1.05997657225662e-09,,8.55015295936333e-10,,,,
5570,,0.00774662666666652,0.897389333333334,,,3.12584739664283e-09,,5.79434849197548e-10,,,9.52348111588978e-10,,6.45592987626184e-10,,,,
